Model,Accuracy,Precision,Recall,F1-Score,Accuracy (%),F1-Score (%)
CART (Real - 15 Feat),0.6923076923076923,0.7794871794871795,0.6923076923076923,0.7047008547008548,69.23076923076923,70.47008547008548
SVM (Real - 15 Feat),0.9230769230769231,0.9384615384615385,0.9230769230769231,0.9145299145299146,92.3076923076923,91.45299145299145
KNN (Real - 15 Feat),0.8846153846153846,0.9160839160839161,0.8846153846153846,0.8591093117408908,88.46153846153845,85.91093117408907
HYBRID (Real - 15 Feat),0.9230769230769231,0.9384615384615385,0.9230769230769231,0.9145299145299146,92.3076923076923,91.45299145299145
