Model,Accuracy,Precision,Recall,F1-Score,Accuracy (%),Precision (%),Recall (%),F1-Score (%)
CART (Simulated),0.8981,0.9066,0.8981,0.8938,89.81,90.66,89.81,89.38000000000001
SVM (Simulated),0.9259,0.9429,0.9259,0.9263,92.58999999999999,94.28999999999999,92.58999999999999,92.63
KNN (Simulated),0.9352,0.9473,0.9352,0.9297,93.52000000000001,94.73,93.52000000000001,92.97
HYBRID CART-SVM (Simulated - OPTIMIZED),0.9537,0.9625,0.9537,0.9541,95.37,96.25,95.37,95.41
